Основы программирования, Волков Сергей Николаевич
Алгоритмы и структуры данных, Волков Сергей Николаевич
Математический анализ 1, Орлова Елена Павловна
Линейная алгебра, Орлова Елена Павловна
Физика твердого тела (введение), Морозов Игорь Витальевич
Квантовая физика, Морозов Игорь Витальевич
Органическая химия (базовый курс), Лебедева Ольга Дмитриевна
Химические реакции и процессы, Лебедева Ольга Дмитриевна
Молекулярная биология (основы), Козлов Андрей Юрьевич
Генетика, Козлов Андрей Юрьевич
Политология, Ельцин Борис Зюганович
